username,name,email,active,birthdate,tier,n_accounts
fmiller,Elizabeth Ray,arroyocolton@gmail.com,True,1977-03-02,Bronze,6
valenciajennifer,Lindsay Cowan,cooperalexis@hotmail.com,,1994-02-19,Platinum,1
hillrachel,Katherine David,timothy78@hotmail.com,,1988-06-20,,5
serranobrian,Leslie Martinez,tcrawford@gmail.com,,1974-11-26,Platinum,2
charleshudson,Brad Cardenas,dustin37@yahoo.com,,1977-05-06,,5
gregoryharrison,Natalie Ford,amyholland@yahoo.com,,1996-09-13,Bronze,2
hmyers,Dana Clarke,vcarter@hotmail.com,,1969-06-21,Silver,3
andrewhamilton,Gary Nichols,laura34@yahoo.com,,1993-02-25,,6
matthewray,John Parks,zmelton@gmail.com,,1993-03-13,,2
glopez,Jennifer Lawrence,scott50@yahoo.com,,1972-11-10,,3
wesley20,James Sanchez,josephmacias@hotmail.com,,1973-01-13,,1
thomasdavid,Ashley Lopez,michael16@hotmail.com,,1989-11-24,,2
patricia44,Dr. Angela Brown,michaelespinoza@gmail.com,,1977-06-19,,1
nelsonmaria,John Vega,ryanpena@yahoo.com,,1983-09-21,,4
portermichael,Lauren Clark,briannafrost@yahoo.com,,1980-10-28,Silver,6
johnsonshelly,Jacqueline Haynes,virginia36@hotmail.com,,1982-09-01,,2
hunterdaniel,Brian Flores,april04@gmail.com,,1979-02-03,,2
james75,Christopher Gomez,omolina@gmail.com,,1974-12-21,,4
eric10,Robert Burns,barbaraduncan@gmail.com,,1990-07-17,Platinum,5
millerrenee,Joshua Parker,nicoleanderson@hotmail.com,,1981-07-09,,3
michael58,Christine Douglas,aaron99@yahoo.com,,1989-12-25,Gold,6
zsanders,Derek Curtis,qgibson@hotmail.com,,1973-12-21,,4
taylorbullock,Shirley Rodriguez,jonathan95@yahoo.com,,1990-05-24,,4
archersarah,Brittany Ellis,jonathankennedy@gmail.com,,1969-04-19,Bronze,1
thomasboyd,Clinton Shelton,acook@gmail.com,,1976-09-03,,5
